Ref,Val,Package,PosX,PosY,Rot,Side
"R43","RES-10-1%-0.063W-0402_002","R_0402_1005Metric",20.950000,13.500000,0.000000,top
"R44","RES-10-1%-0.063W-0402_002","R_0402_1005Metric",29.500000,13.500000,180.000000,top
"R45","RES-10-1%-0.063W-0402_002","R_0402_1005Metric",41.250000,42.000000,-90.000000,top
"R46","RES-10-1%-0.063W-0402_002","R_0402_1005Metric",39.250000,42.000000,-90.000000,top
"R47","RES-10-1%-0.063W-0402_002","R_0402_1005Metric",40.250000,42.000000,-90.000000,top
"R48","RES-10-1%-0.063W-0402_002","R_0402_1005Metric",36.100000,42.000000,-90.000000,top
"R49","RES-10-1%-0.063W-0402_002","R_0402_1005Metric",37.100000,42.000000,-90.000000,top
"TP1","GND-TP","TestPoint_Bridge_Pitch7.62mm_Drill1.3mm",48.850000,19.000000,0.000000,top
"U1","78L09-SOT89_002","SOT-89-3",50.250000,32.950000,90.000000,top
"U2","79L09-SOT89_002","SOT-89-3",50.250000,39.750000,-90.000000,top
"U3","LR6206B-U33","SOT-23",44.000000,32.820000,-90.000000,top
"U4","TPS7A2033-SOT23","SOT-23-5",27.387500,45.950000,0.000000,top
"U5","ES9018K2M","QFN-28-1EP_5x5mm_P0.5mm_EP3.25x3.25mm_ThermalVias_0.3mm",32.250000,34.000000,0.000000,top
"U6","OPA1678-VSSOP","MSOP-8_3x3mm_P0.65mm",21.150000,35.750000,180.000000,top
"U7","OPA1678-VSSOP","MSOP-8_3x3mm_P0.65mm",39.750000,24.000000,180.000000,top
"U8","OPA1678-VSSOP","MSOP-8_3x3mm_P0.65mm",25.250000,24.000000,180.000000,top
"U9","OPA1678-VSSOP","MSOP-8_3x3mm_P0.65mm",39.750000,15.500000,180.000000,top
"U10","OPA1678-VSSOP","MSOP-8_3x3mm_P0.65mm",25.250000,15.500000,180.000000,top
"Y1","OSC-XO-100M-3225_002","Oscillator_SMD_4Pin_3.2x2.5mm",29.200000,42.440000,180.000000,top
